,Instructor,Department,Rcmnd Instr,Average Grade Expected,Classes Taught,Enrolled
1083,"Butler, Daniel",Linguistics,93.325,3.5524999999999998,4.0,472.0
1084,"Wiens, David Abram",Linguistics,97.8,3.635,2.0,156.0
1085,"Mackie, Gerald",Linguistics,67.7,3.44,1.0,262.0
1086,"Bonett, Derek John",Linguistics,100.0,4.0,1.0,18.0
1087,"Roth, Skyler Elijah Maclean",Linguistics,100.0,3.79,2.0,49.0
1088,"Liu, Huchen",Linguistics,70.0,3.185,2.0,47.0
1089,"Spangler, Liesel Ingrid",Linguistics,100.0,3.78,1.0,22.0
1090,"Strom, Kaare",Linguistics,100.0,4.0,1.0,19.0
1091,"Morgan, Sean Thomas",Linguistics,84.36666666666667,3.42,3.0,84.0
1092,"Bredell, Garrett Bailey",Linguistics,100.0,3.5,1.0,15.0
1093,"Gartzke, Erik",Linguistics,89.26666666666667,3.6966666666666668,3.0,381.0
1094,"Lee, Lauren Elizabeth",Linguistics,100.0,3.63,1.0,10.0
1095,"Carlson, Taylor Nicole",Linguistics,100.0,3.75,1.0,11.0
1096,"Zhang, Jiakun Jack",Linguistics,100.0,3.57,1.0,27.0
1097,"McClean, Charles Thurman",Linguistics,100.0,3.58,1.0,26.0
1098,"Porten, John Joseph",Linguistics,100.0,3.5,1.0,16.0
1099,"Macmanus, Maureen Danielle",Linguistics,100.0,4.0,1.0,11.0
1100,"Stephens, Mattheus E",Linguistics,78.8,3.66,1.0,110.0
1101,"Orfield, Michael Bennett",Linguistics,100.0,3.87,1.0,46.0
1102,"Ingham, Sean",Linguistics,89.9,3.6100000000000003,2.0,74.0
1103,"Hoston, Germaine",Linguistics,83.36666666666666,3.5933333333333333,3.0,124.0
1104,"Sells, Cameron James",Linguistics,90.8,3.59,2.0,85.0
1105,"Willoughby, Randy K",Linguistics,90.9,3.42,1.0,40.0
1106,"Broz, James Lawrence",Linguistics,100.0,3.25,1.0,45.0
1107,"Wachob, William",Linguistics,63.2,3.69,1.0,46.0
1108,"Fowler, James",Linguistics,100.0,3.88,1.0,46.0
1109,"Erie, Steven P",other,100.0,3.355,2.0,55.0
1110,"Litman, Harry P",Linguistics,92.9,3.29,1.0,18.0
1111,"Forman, Fonna",other,95.63333333333333,3.676666666666667,3.0,238.0
1112,"Ramanathan, Veerabhadran",other,86.75,3.6950000000000003,2.0,54.0
1113,"Chandler, William M.",Linguistics,90.0,3.62,1.0,65.0
1114,"Naoi, Megumi",Linguistics,94.25,3.615,2.0,246.0
1115,"Gibson, Clark C",Linguistics,82.1,3.71,1.0,47.0
1116,"Mares, David R",Linguistics,81.35,3.465,2.0,124.0
1117,"Slantchev, Branislav",Linguistics,92.6,3.375,2.0,135.0
1118,"Schneider, Christina",Linguistics,100.0,3.62,1.0,45.0
1119,"Hanes, Esther",Psychology,99.75,3.6900000000000004,4.0,904.0
1120,"Rose, Fred E.",Psychology,96.2,3.31,3.0,662.0
1121,"Heyman, Gail D.",Psychology,96.43333333333334,3.766666666666666,6.0,411.0
1122,"Serences, John Thomas",Psychology,99.3,3.5,1.0,284.0
1123,"Frederick, David A",Psychology,97.05999999999999,3.3560000000000003,5.0,425.0
1124,"Geller, Emma Harlan",Psychology,99.58749999999999,3.4975,8.0,593.0
1125,"Winkielman, Piotr",Psychology,92.85,3.4575,4.0,127.0
1126,"Lang, Ariel",Psychology,97.2,3.855,2.0,31.0
1127,"Winward, Jennifer Laven",Psychology,98.925,3.755,4.0,232.0
1128,"Lacefield, Katharine I",Psychology,96.64,3.566,5.0,915.0
1129,"Kaye, Walter H.",Psychology,89.65,3.61,2.0,343.0
1130,"Breit, Kristen Rian",Psychology,100.0,3.7249999999999996,2.0,91.0
1131,"Willis, Jarryd Thomas",Psychology,95.37142857142858,3.6185714285714288,7.0,1546.0
1132,"Geiss, Elisa G",Psychology,76.7,3.29,1.0,77.0
1133,"Wixted, John T",Psychology,97.6,3.195,4.0,608.0
1134,"Erdener, Eda",Psychology,63.3,3.325,2.0,99.0
1135,"Fletcher, Laura Michelle",Psychology,99.32000000000001,3.7640000000000002,5.0,159.0
1136,"Glaser, Dale",Psychology,94.45,3.395,2.0,87.0
1137,"George, Olivier",Psychology,93.38,3.3299999999999996,5.0,819.0
1138,"Anagnostaras, Stephan",Psychology,95.22,3.4519999999999995,5.0,653.0
1139,"Schurgin, Mark W",Psychology,98.1,3.66,1.0,303.0
1140,"Lowe, Angela Beth",Psychology,96.76,3.1859999999999995,5.0,882.0
1141,"Rickard, Timothy C.",Psychology,90.14,3.2700000000000005,5.0,436.0
1142,"Miller, Cory T.",Psychology,94.73333333333333,3.466666666666667,3.0,201.0
1143,"Christenfeld, Nicholas",Psychology,80.8,3.468,5.0,289.0
1144,"Arnold, Andrew Joseph",Psychology,91.7,3.03,1.0,43.0
1145,"Albright, Thomas D",Psychology,100.0,3.53,1.0,77.0
1146,"Sousa, Margarette Pamela-Burd",Psychology,89.69999999999999,3.41,2.0,183.0
1147,"Aramovich, Nicholas P",Psychology,97.1,3.4,1.0,45.0
1148,"Moranton, Nirelia Melbina-",Psychology,85.2,3.5,2.0,127.0
1149,"Morgan, Adam Milton",Psychology,100.0,3.25,1.0,6.0
1150,"Root, Nicholas Bernard",Psychology,100.0,3.5,1.0,12.0
1151,"Ramachandran, Vilayanur S",Psychology,83.13333333333334,3.5766666666666667,3.0,192.0
1152,"Kennelly, Arthur Edwin",Psychology,100.0,3.38,1.0,44.0
1153,"Brady, Adena Schachner",Psychology,97.7,3.33,1.0,200.0
1154,"Gremel, Christina M",Psychology,87.0,3.19,1.0,256.0
1155,"Bajic, Daniel Andrew",Psychology,95.0,4.0,2.0,45.0
1156,"Aron, Adam",Psychology,91.85,3.62,2.0,197.0
1157,"Accomando, Alyssa Wheeler",Psychology,97.0,3.25,1.0,52.0
1158,"Gasperi, Marianna",Psychology,98.0,3.515,2.0,98.0
1159,"Brady, Timothy Francis",Psychology,99.1,3.605,2.0,335.0
1160,"Howland, Alex C",Psychology,69.7,3.22,1.0,99.0
1161,"Barner, David A.",Psychology,95.6,3.67,1.0,305.0
1162,"Ahn, Young-Ju",Psychology,100.0,4.0,1.0,16.0
1163,"Stoermer, Viola Sophie",Psychology,91.5,3.22,1.0,268.0
1164,"Steiner, Eric Tomas",Psychology,94.43333333333332,3.15,3.0,515.0
1165,"Yerushalmian, Sara",Psychology,96.6,3.49,1.0,299.0
1166,"Walker, Caren Michelle",Psychology,98.2,3.47,1.0,374.0
1167,"Gentner, Tim",Psychology,92.0,3.27,1.0,93.0
1168,"Hunt, Matthew James",Psychology,71.4,3.2,1.0,160.0
1169,"St John, Mark F.",Psychology,61.5,3.47,1.0,95.0
1170,"Mc Kenzie, Craig R.M.",Psychology,90.0,3.41,1.0,91.0
1171,"Dobkins, Karen R.",other,100.0,3.9333333333333336,3.0,53.0
1172,"Lau, Sin-Heng",Psychology,83.3,3.5,1.0,12.0
1173,"Kalleres, Dayna",other,95.54,3.718,5.0,125.0
1174,"Torrance, Justina",Linguistics,94.1,3.65,1.0,39.0
1175,"Amironesei, Razvan",Linguistics,70.0,3.75,1.0,31.0
1176,"Eberhard, Craig A",Rady School of Management,96.12,3.4080000000000004,10.0,668.0
1177,"Ehrich, Kristine R",Rady School of Management,94.6,3.26,9.0,463.0
1178,"Demill, Burritt",Rady School of Management,100.0,3.44,1.0,38.0
1179,"Bates, Kenneth Walter",Rady School of Management,92.95,3.3150000000000004,4.0,260.0
1180,"Campbell, Robert Harold",Rady School of Management,97.7,3.7390000000000008,10.0,1092.0
1181,"Fuller, Robert L.",Rady School of Management,82.84,3.716,10.0,799.0
1182,"Kim, Nancy Sun Kyung",Rady School of Management,92.3,3.6449999999999996,2.0,80.0
1183,"Lindenberger, Wade Douglas",Rady School of Management,98.13636363636364,3.681818181818181,11.0,902.0
1184,"Klaas, Jeffrey David",Rady School of Management,96.15,3.76,2.0,142.0
1185,"Greco, Frank James",Rady School of Management,100.0,3.56,1.0,13.0
1186,"Houskeeper, Robert",Rady School of Management,86.93636363636364,3.523636363636364,11.0,1092.0
1187,"Blakley, Bruce",Rady School of Management,76.73333333333333,3.1633333333333336,3.0,169.0
1188,"Pecore, Joseph P.",Rady School of Management,97.17777777777778,3.4966666666666666,9.0,1044.0
1189,"Perols, Johan Lars",Rady School of Management,99.35,3.595,4.0,223.0
1190,"Buchanan, Harold G",Rady School of Management,92.71428571428571,3.34,7.0,730.0
1191,"McKay, Mary A",Rady School of Management,88.66363636363637,3.266363636363636,11.0,579.0
1192,"Zimmermann, Carsten",Rady School of Management,91.21666666666668,3.5466666666666664,6.0,401.0
1193,"Moran, Cathleen L.",Rady School of Management,83.67777777777778,3.261111111111111,9.0,601.0
1194,"Shaffer, Lisa Robock",Rady School of Management,97.8,3.58,1.0,71.0
1195,"Jacob, Jo Dee C",Rady School of Management,91.8,3.67,1.0,60.0
1196,"Gopal, Christopher S.",Rady School of Management,92.86666666666667,3.3033333333333332,3.0,147.0
1197,"Hedges, Kathleen",Rady School of Management,98.1,3.6228571428571428,7.0,563.0
1198,"Royal, Rebecca",Rady School of Management,92.2,3.606666666666667,3.0,264.0
1199,"Hayes, Sherry Lorine",Rady School of Management,97.0,3.52,1.0,75.0
1200,"McKay, Michael J",Rady School of Management,95.0181818181818,3.347272727272728,11.0,739.0
1201,"Bliss, Barbara Ann",Rady School of Management,97.7,3.3333333333333335,3.0,85.0
1202,"Parashar, Sat P",Rady School of Management,92.3,3.54,1.0,37.0
1203,"Dunn, Louis Jean",Rady School of Management,83.51428571428572,3.4571428571428564,7.0,556.0
1204,"Wagner, Timothy Ryan",Rady School of Management,100.0,3.42,1.0,45.0
1205,"Connell, Joanie B.",Rady School of Management,92.3,3.62,1.0,16.0
1206,"Baltes, Guido H",Rady School of Management,100.0,3.94,1.0,20.0
1207,"Maki, Kanetaka",Rady School of Management,96.3,3.67,1.0,64.0
1208,"Somasundaram, Tyagarajan",Rady School of Management,88.825,3.1799999999999997,4.0,191.0
1209,"Davis, Kathleen Ann",Rady School of Management,100.0,4.0,1.0,21.0
1210,"Rutherford, Lamar",Rady School of Management,85.45,3.54,2.0,107.0
1211,"Krishnan, Viswanathan",Rady School of Management,94.1,3.64,1.0,54.0
1212,"Sullivan, Robert S.",Rady School of Management,90.9,3.41,1.0,25.0
1213,"Greenspan, Bernard J",Rady School of Management,100.0,3.64,1.0,14.0
1214,"Weil, Roman",Rady School of Management,100.0,4.0,1.0,9.0
1215,"Smith, Pamela Karen",Rady School of Management,95.6,3.46,1.0,77.0
1216,"Katzenstein, Gary Jay",Rady School of Management,98.4,3.31,1.0,72.0
1217,"Dos Santos, Jose Ricardo",Rady School of Management,77.4,3.77,1.0,68.0
1218,"Willoughby, Michael Gene",Rady School of Management,81.6,3.71,1.0,58.0
1219,"Callen, Michael J",Rady School of Management,80.0,2.8,1.0,48.0
1220,"Dechner, Gilad",Rady School of Management,62.1,3.09,1.0,137.0
1221,"Prosser, Elise K",Rady School of Management,91.5,3.64,1.0,74.0
1222,"Zhu, Kevin Xiaoguo",Rady School of Management,82.2,3.81,1.0,52.0
1223,"Meyer, Alison Bloomfield",Rady School of Management,92.3,3.73,1.0,13.0
1224,"Doran, Martha S",Rady School of Management,95.5,3.56,1.0,39.0
1225,"Baca, Katherine Marie",Rady School of Management,100.0,3.83,1.0,53.0
1226,"Van Den Einde, Yael Dahlia",Structural Engineering,80.80000000000001,3.365,2.0,267.0
1227,"Asaro, Robert J",Structural Engineering,15.2,3.18,1.0,110.0
1228,"Conte, Joel P",Structural Engineering,95.0,2.83,1.0,138.0
1229,"Kosmatka, John B",Structural Engineering,87.275,3.445,4.0,191.0
1230,"Elgamal, Ahmed",Structural Engineering,100.0,3.29,1.0,62.0
1231,"Hutchinson, Tara",Structural Engineering,63.15,2.75,2.0,75.0
1232,"Ngo, Mimi",Structural Engineering,75.0,3.67,1.0,17.0
1233,"Wei, Haoyan",Structural Engineering,100.0,3.0,1.0,25.0
1234,"Adams, Dave Kenneth",Structural Engineering,100.0,3.33,1.0,14.0
1235,"McCartney, John Scott",Structural Engineering,75.0,3.0,1.0,30.0
1236,"Oberrecht, Stephen Patrick",Structural Engineering,100.0,3.25,1.0,31.0
1237,"Qiao, Yu",Structural Engineering,75.66666666666667,3.4066666666666667,3.0,141.0
1238,"Chen, Jiun-Shyan",Structural Engineering,88.9,3.22,1.0,47.0
1239,"Saritas, Afsin",Structural Engineering,71.4,2.86,1.0,32.0
1240,"Mosqueda, Gilberto",Structural Engineering,100.0,3.22,1.0,46.0
1241,"Oded, Amir",Structural Engineering,90.0,3.2,1.0,30.0
1242,"Krysl, Petr",Structural Engineering,80.3,3.21,2.0,258.0
1243,"Restrepo, Jose",Structural Engineering,41.4,2.97,1.0,74.0
1244,"Kim, Hyonny",Structural Engineering,100.0,3.4333333333333336,3.0,69.0
1245,"Uang, Chia-Ming",Structural Engineering,95.06666666666666,3.19,3.0,203.0
1246,"Megally, Sami Hanna",Structural Engineering,94.1,3.23,2.0,126.0
1247,"Kim, Hyunsun Alicia",Structural Engineering,54.3,3.04,1.0,122.0
1248,"Lanza Di Scalea, Francesco",Structural Engineering,98.85,3.285,2.0,91.0
1249,"Farrar, Charles R.",Structural Engineering,66.7,3.33,1.0,8.0
1250,"Kuester, Falko",Structural Engineering,83.3,3.17,1.0,85.0
1251,"Loh, Kenneth J. H.",Structural Engineering,87.5,2.81,1.0,22.0
1252,"McDonald, James Alan",Structural Engineering,79.8,2.99,1.0,133.0
1253,"Tomac, Ingrid",Structural Engineering,26.3,3.28,1.0,41.0
1254,"Gee, Jeffrey S",SIO,98.5,3.345,2.0,87.0
1255,"Norris, Richard D.",SIO,100.0,3.335,2.0,60.0
1256,"Aluwihare, Lihini",SIO,85.7,3.29,1.0,26.0
1257,"Landry, Michael Raymond",SIO,85.9,3.26,2.0,175.0
1258,"Brown, Kevin Michael",SIO,77.8,3.415,2.0,37.0
1259,"Willenbring, Jane Kathryn",SIO,85.93333333333334,3.22,3.0,48.0
1260,"Clemesha, Rachel Schwartz",SIO,62.5,3.56,1.0,34.0
1261,"Keeling, Ralph F.",SIO,100.0,3.56,1.0,34.0
1262,"Peach, Cheryl",SIO,98.1,3.85,1.0,145.0
1263,"Bowman, Jeff Shovlowsky",SIO,92.82499999999999,3.4075,4.0,105.0
1264,"Allen, Andrew Ellis",SIO,95.7,3.69,1.0,48.0
1265,"Burton, Ronald S.",SIO,97.6,3.24,2.0,205.0
1266,"Hechinger, Ryan F.",SIO,83.30000000000001,2.7199999999999998,2.0,206.0
1267,"Baumann-Pickering , Simone",SIO,96.6,3.37,2.0,69.0
1268,"Semmens, Brice Xavier",SIO,94.25,3.37,2.0,69.0
1269,"Wegner, Nicholas Craig",SIO,100.0,3.3,1.0,34.0
1270,"Laske, Gabi",SIO,96.0,3.68,1.0,328.0
1271,"Rudnick, Daniel Lars",SIO,100.0,3.38,1.0,17.0
1272,"Merrifield, Mark A",SIO,100.0,3.57,1.0,11.0
1273,"Charles, Christopher D.",SIO,84.85,3.325,2.0,203.0
1274,"Holland, Nicholas D.",SIO,80.7,3.27,1.0,141.0
1275,"Send, Uwe",SIO,78.3,3.27,1.0,137.0
1276,"Barbeau, Katherine",SIO,96.9,3.52,1.0,153.0
1277,"Ricke, Katharine L",SIO,86.7,3.27,1.0,27.0
1278,"Norris, Joel Roland",SIO,95.55,3.44,2.0,150.0
1279,"Gerwick, William Henry",SIO,100.0,4.0,1.0,17.0
1280,"Courtney, Travis Alexander",SIO,100.0,3.75,1.0,40.0
1281,"Doran, Adrian Kristeller",SIO,100.0,4.0,1.0,20.0
1282,"Durkin, Kathryn Elaine",SIO,100.0,3.07,1.0,32.0
1283,"Joyce, Trevor William",SIO,100.0,3.43,1.0,37.0
1284,"Krause, Douglas John",SIO,100.0,3.43,1.0,29.0
1285,"Borsa, Adrian Antal",SIO,98.7,3.34,1.0,138.0
1286,"Driscoll, Neal W.",SIO,97.35,3.705,2.0,212.0
1287,"Lyons, Deirdre Colleen",SIO,100.0,3.88,1.0,15.0
1288,"Jensen, Paul R.",SIO,100.0,2.89,1.0,18.0
1289,"Bartlett, Douglas H",SIO,97.4,3.34,1.0,74.0
1290,"Ballance, Lisa Taylor",SIO,85.4,3.61,1.0,114.0
1291,"Leichter, James J.",SIO,83.3,3.38,1.0,62.0
1292,"Smith, Jennifer",SIO,100.0,3.37,2.0,87.0
1293,"Day, James M.D.",SIO,97.2,3.205,2.0,52.0
1294,"Fialko, Yuri A.",SIO,83.3,3.36,1.0,23.0
1295,"Severinghaus, Jeffrey P.",SIO,100.0,3.67,1.0,7.0
1296,"Tresguerres, Martin",SIO,100.0,3.2,1.0,76.0
1297,"Constable, Steven C",SIO,90.0,3.15,2.0,39.0
1298,"Gaasterland, Theresa",SIO,100.0,4.0,1.0,15.0
1299,"Seltzer, Alan Myland",SIO,100.0,4.0,1.0,51.0
1300,"Pommier, Anne A.",SIO,90.2,3.3,1.0,108.0
1301,"Masters, Thomas G",SIO,100.0,3.5,1.0,22.0
1302,"Tauxe, Lisa",SIO,100.0,3.78,1.0,19.0
1303,"Benmarhnia, Tarik",SIO,100.0,3.9,1.0,12.0
1304,"Andersson, Andreas Jerry",SIO,98.1,3.14,1.0,55.0
1305,"Gille, Sarah T",SIO,98.1,3.14,1.0,54.0
1306,"Palenik, Brian",SIO,80.55,3.12,2.0,93.0
1307,"Rouse, Gregory W.",SIO,100.0,3.38,1.0,15.0
1308,"Evan, Amato Tomas",SIO,0.0,3.0,1.0,9.0
1309,"Paulenich, Cari Lynn",SIO,100.0,4.0,1.0,18.0
1310,"Brahamsha, Bianca M.",SIO,100.0,3.25,1.0,13.0
1311,"Sandin, Stuart Adrian",SIO,77.4,3.17,1.0,47.0
1312,"Hastings, Philip A.",SIO,100.0,3.32,1.0,28.0
1313,"Xie, Shang-Ping",SIO,49.1,2.88,1.0,140.0
1314,"Aburto Oropeza, Marco Octavio",SIO,90.6,3.66,1.0,66.0
1315,"Guazzo, Regina Anne",SIO,100.0,3.67,1.0,43.0
1316,"Skrentny, John David",Sociology,99.6,3.4850000000000003,2.0,370.0
1317,"Medvetz, Thomas Matthew",Sociology,89.4,3.23,1.0,107.0
1318,"Ribas Norris, Janet Vanesa",Sociology,90.98333333333333,3.5500000000000003,6.0,308.0
1319,"Rogers, Julia Ellen",Sociology,81.3,3.495,2.0,111.0
1320,"Lampland, Martha",Sociology,87.5,3.29,2.0,47.0
1321,"Tirshfield, Jeffrey T",Sociology,89.3,3.472,5.0,184.0
1322,"Hercowitz-Amir, Adi",Sociology,100.0,3.793333333333333,3.0,154.0
1323,"Sanchez-Lopez, Luis Eduardo",Sociology,53.8,3.43,1.0,61.0
1324,"Blair-Loy, Mary",Sociology,80.9,3.6799999999999997,3.0,155.0
1325,"Fitzgerald, David S",Sociology,100.0,3.6,1.0,44.0
1326,"Summers, Valerie R.",Sociology,95.80000000000001,3.455,2.0,182.0
1327,"Biernacki, Richard",Sociology,100.0,3.525,2.0,99.0
1328,"Rona-Tas, Akos",Sociology,90.60000000000001,3.7466666666666666,3.0,98.0
1329,"Calderon-Zaks, Michael Aar",Sociology,63.36,3.432,5.0,135.0
1330,"Livingstone, Stacey Bryley",Sociology,100.0,3.71,2.0,80.0
1331,"Kenworthy, Lane A.",Sociology,85.1,3.3825,4.0,138.0
1332,"Pardo Guerra, Juan Pablo",Sociology,88.09999999999998,3.64,3.0,102.0
1333,"Thorpe, Charles Robert",Sociology,85.45,3.46,2.0,59.0
1334,"Jules-Rosette, Bennetta W.",Sociology,97.63333333333333,3.7066666666666666,3.0,64.0
1335,"Carter, Harrison Blaine",Sociology,95.45,3.1950000000000003,2.0,45.0
1336,"Payne, Christine Anna",Sociology,100.0,3.71,1.0,42.0
1337,"Schneider, Heidi L.",Sociology,94.75,3.485,4.0,180.0
1338,"Navon, Daniel",Sociology,100.0,3.635,2.0,158.0
1339,"Troutman, Philip P",Sociology,55.6,3.38,1.0,27.0
1340,"McVey, Cristin M",Sociology,100.0,3.7249999999999996,2.0,43.0
1341,"Madsen, Richard P.",Sociology,100.0,4.0,1.0,19.0
1342,"Raudenbush, Danielle",Sociology,94.73333333333333,3.5566666666666666,3.0,309.0
1343,"Sutton, April Marie",Sociology,97.6,3.54,1.0,75.0
1344,"Scull, Andrew",Sociology,77.80000000000001,3.19,2.0,69.0
1345,"Haydu, Jeffrey Miles",Sociology,100.0,3.77,1.0,68.0
1346,"Davis, Daniel Brent",Sociology,100.0,4.0,1.0,32.0
1347,"Zamosc, Leon",Sociology,70.0,3.4,1.0,46.0
1348,"Vargas Consuelos, Carlos Ingram",Jacobs School of Engineering,40.8,3.783333333333333,3.0,66.0
1349,"Choi, Seongcheol",Jacobs School of Engineering,78.86666666666667,3.9333333333333336,3.0,68.0
1350,"Bratton, Maryann",Jacobs School of Engineering,92.97999999999999,3.7760000000000007,5.0,147.0
1351,"Schamberg, Gabriel Eli",Jacobs School of Engineering,100.0,3.96,1.0,30.0
1352,"Warchall, Julian Alexander",Jacobs School of Engineering,87.0,3.96,1.0,30.0
1353,"Reynante, Brandon Marcellino",Jacobs School of Engineering,97.8,3.615,6.0,268.0
1354,"Goldberg, Charles G.",Jacobs School of Engineering,100.0,4.0,1.0,12.0
1355,"Larson, David Philip",Jacobs School of Engineering,100.0,3.88,1.0,24.0
1356,"Williams, Ebonee P.",Jacobs School of Engineering,100.0,4.0,1.0,15.0
1357,"Chilukuri, Lakshmi N",Sixth College,100.0,4.0,1.0,61.0
1358,"Walsh, Kim C.",Theatre & Dance,96.60400000000001,3.8724000000000003,25.0,492.0
1359,"Harting, Carla Kelso",Theatre & Dance,96.66499999999999,3.8634999999999997,20.0,368.0
1360,"Robichaux, Natalie Griffith",Theatre & Dance,94.60714285714286,3.842142857142857,14.0,250.0
1361,"Castro, Robert Jess",Theatre & Dance,100.0,3.823333333333333,3.0,52.0
1362,"Barricelli, Marc Alexander",Theatre & Dance,100.0,3.67,1.0,15.0
1363,"Dolan, Judith A.",Theatre & Dance,100.0,4.0,1.0,10.0
1364,"Smith, Alison D",Theatre & Dance,98.0,3.9490000000000003,10.0,143.0
1365,"Porter, Lisa",Theatre & Dance,100.0,3.29,1.0,30.0
1366,"Salovey, Todd",Theatre & Dance,97.0625,3.8699999999999997,8.0,423.0
1367,"Teshome, Tezeru",Theatre & Dance,79.0,3.75,1.0,184.0
1368,"Rincon, Patricia A.",Theatre & Dance,92.86363636363636,3.9936363636363637,11.0,243.0
1369,"Tregar, Kristen Lauren",Theatre & Dance,100.0,3.54,1.0,24.0
1370,"Woods, Wind Dell",Theatre & Dance,82.4,3.5,1.0,51.0
1371,"White, Bryan Curtiss",Theatre & Dance,100.0,3.7533333333333334,3.0,286.0
1372,"Caligagan, Maria T.",Theatre & Dance,97.82000000000001,3.9239999999999995,5.0,189.0
1373,"Wilson, Terry A.",Theatre & Dance,100.0,3.8200000000000003,4.0,145.0
1374,"Geiger, Eric",Theatre & Dance,100.0,3.9466666666666668,6.0,133.0
1375,"Jun, Grace Shin Hae",Theatre & Dance,94.45,3.835,4.0,132.0
1376,"Caligagan, Tony",Theatre & Dance,95.82857142857142,3.911428571428572,7.0,243.0
1377,"Valero, Oscar",Theatre & Dance,89.2,3.8,2.0,78.0
1378,"Foster-King, Sandra",Theatre & Dance,82.5,3.99,3.0,141.0
1379,"Sammartano, Tonnie",Theatre & Dance,98.81666666666666,3.9416666666666664,6.0,158.0
1380,"Snaith, Yolande",Theatre & Dance,85.35000000000001,3.98,6.0,103.0
1381,"Rincon, Alicia",Theatre & Dance,95.95714285714287,3.962857142857143,7.0,199.0
1382,"Arcidiacono, Kristin",Theatre & Dance,96.25714285714285,3.9285714285714284,7.0,204.0
1383,"Padilla, Liliana Camille",Theatre & Dance,94.16,3.872,5.0,71.0
1384,"Stokes, Cynthia Sue",Theatre & Dance,100.0,3.8475,4.0,67.0
1385,"Schwartz, Michael",Theatre & Dance,100.0,4.0,1.0,15.0
1386,"Reimer, Jonathan Charles",Theatre & Dance,99.13333333333333,3.8000000000000003,3.0,354.0
1387,"Dallas, Deleon Demetrius",Theatre & Dance,100.0,4.0,1.0,50.0
1388,"Fulton, Julia",Theatre & Dance,93.76666666666667,3.893333333333333,3.0,161.0
1389,"Weinberg, Sadie",Theatre & Dance,100.0,3.902,5.0,128.0
1390,"Hale, Debra",Theatre & Dance,100.0,4.0,1.0,18.0
1391,"Vickerman, Linda Joanne",Theatre & Dance,100.0,4.0,1.0,15.0
1392,"Osmanski, Joy K",Theatre & Dance,100.0,3.67,1.0,19.0
1393,"Benzoni, Elisa",Theatre & Dance,100.0,3.67,1.0,19.0
1394,"Means, Charles E.",Theatre & Dance,86.93333333333332,3.8366666666666664,3.0,74.0
1395,"Stalling, Vanessa",Theatre & Dance,100.0,3.82,1.0,19.0
1396,"McCleary, Keith Long",other,98.6625,3.3225000000000002,8.0,315.0
1397,"Raphaeli, Karen Adee",Theatre & Dance,74.94999999999999,3.6100000000000003,2.0,337.0
1398,"Brill, Robert L.",Theatre & Dance,100.0,4.0,1.0,15.0
1399,"Oates, Charles Bruce",Theatre & Dance,100.0,4.0,1.0,11.0
1400,"George, Nadine",Theatre & Dance,100.0,4.0,2.0,51.0
1401,"Glabe, Heather G.",Theatre & Dance,100.0,3.795,2.0,47.0
1402,"Devaguptapu, Divya",Theatre & Dance,94.1,4.0,1.0,46.0
1403,"Iizuka, Naomi Hisako",Theatre & Dance,95.83333333333333,3.9450000000000003,6.0,86.0
1404,"Stein, Deborah Isobel",Theatre & Dance,100.0,3.88,1.0,19.0
1405,"Myers, David William",Theatre & Dance,100.0,3.63,1.0,20.0
1406,"Rubinstein, Kim",Theatre & Dance,85.7,4.0,1.0,22.0
1407,"Burrett, Alan",Theatre & Dance,100.0,3.75,1.0,14.0
1408,"Cole, Melanie Chen",Theatre & Dance,100.0,3.89,1.0,16.0
1409,"Petrovich, Victoria A.",Theatre & Dance,100.0,3.67,1.0,8.0
1410,"Adler, Steven",Theatre & Dance,85.2,3.59,1.0,63.0
1411,"Carmody, James",Theatre & Dance,100.0,3.825,2.0,43.0
1412,"Clancy, Liam",Theatre & Dance,94.1,3.94,1.0,31.0
1413,"Sinay, Patricia",Thurgood Marshall College,31.25,3.75,2.0,19.0
1414,"Zhiri, Oumelbanine",other,89.66666666666667,3.6666666666666665,3.0,94.0
1415,"Vijay, Ameeth Varma",other,92.7,3.3939999999999997,5.0,137.0
1416,"Bussell, Mirle Rabinowitz",Urban Studies and Planning,98.225,3.725,4.0,153.0
1417,"Lewis, Leslie R",Urban Studies and Planning,98.78,3.4599999999999995,5.0,490.0
1418,"Edwards, Gregory S",Urban Studies and Planning,98.55,3.665,2.0,61.0
1419,"Garcia, Kathleen",Urban Studies and Planning,100.0,3.54,1.0,30.0
1420,"Peerson, Susan",Urban Studies and Planning,97.33333333333333,3.741666666666667,6.0,161.0
1421,"Wartell, Julie Dara",Urban Studies and Planning,92.25,3.8449999999999998,4.0,98.0
1422,"Hajrasouliha, Amir Hossein",Urban Studies and Planning,100.0,3.38,1.0,19.0
1423,"Hinds, Juli Beth",Urban Studies and Planning,100.0,3.365,2.0,81.0
1424,"Norr, Alex Vaughn",Urban Studies and Planning,94.7,3.39,1.0,46.0
1425,"Moeder, Nathan L",Urban Studies and Planning,100.0,3.51,2.0,84.0
1426,"Chavez, Richard Gerard",Urban Studies and Planning,100.0,3.8,1.0,20.0
1427,"McGrory, Jack",Urban Studies and Planning,100.0,4.0,1.0,23.0
1428,"Calavita, Nico",Urban Studies and Planning,71.4,2.57,1.0,18.0
1429,"Yetwin, Richard Mark",Urban Studies and Planning,90.0,3.3,1.0,25.0
1430,"Curcio, Paul David",Urban Studies and Planning,100.0,3.71,1.0,15.0
