,Instructor,Department,Rcmnd Instr,Average Grade Expected,Classes Taught,Enrolled
286,"Tu, Zhuowen",Cognitive Science,84.53333333333335,3.626666666666667,3.0,387.0
287,"De Sa, Virginia",Cognitive Science,89.65,3.6100000000000003,2.0,206.0
288,"Saygin, Ayse P",Cognitive Science,72.5,3.395,2.0,99.0
289,"Guo, Philip J",other,99.575,3.775,4.0,448.0
290,"Sanchez Amaro, Alejandro",Cognitive Science,90.0,3.55,1.0,42.0
291,"Kim, Seung Kyung",Cognitive Science,74.1,3.3200000000000003,2.0,226.0
292,"Bergen, Benjamin",Cognitive Science,100.0,3.63,1.0,115.0
293,"Johnson, Christine M.",Cognitive Science,86.97142857142856,3.1671428571428573,7.0,1139.0
294,"Donoghue, Thomas",Cognitive Science,98.0,3.62,1.0,208.0
295,"Miller, Carson Grant",Cognitive Science,88.3,3.78,1.0,163.0
296,"Voytek, Bradley Thomas",Cognitive Science,96.25,3.745,2.0,830.0
297,"Meyer, Michael Wayne",Cognitive Science,89.80000000000001,3.485,2.0,330.0
298,"Hollan, James D.",Cognitive Science,93.525,3.59,4.0,296.0
299,"Davis, Joshua Daniel",Cognitive Science,96.85,3.5300000000000002,2.0,178.0
300,"Semenuks, Arturs",Cognitive Science,94.7,3.47,1.0,22.0
301,"Pineda, Jaime A",Cognitive Science,90.17500000000001,3.495,4.0,736.0
302,"Gupta, Anjum",other,85.95,3.4000000000000004,2.0,64.0
303,"Coulson, Seana M",Cognitive Science,88.60000000000001,3.466666666666667,3.0,299.0
304,"Bardolph, Megan Dalene",Cognitive Science,96.2,3.73,1.0,65.0
305,"Barrera, Steven James",Cognitive Science,100.0,3.48,2.0,254.0
306,"Gougelet, Robert Joseph",Cognitive Science,43.650000000000006,3.395,2.0,167.0
307,"Yang, Dorothy Daw-Shin",other,96.15,3.3499999999999996,4.0,203.0
308,"Hoffman, Drew Ellen",Cognitive Science,90.06666666666666,3.3233333333333337,3.0,982.0
309,"Chiba, Andrea",Cognitive Science,96.1,3.715,2.0,294.0
310,"Boroditsky, Lera",Cognitive Science,94.16666666666667,3.526666666666667,3.0,338.0
311,"Dow, Steven P",Cognitive Science,87.59999999999998,3.6833333333333336,3.0,213.0
312,"Rossano, Federico",Cognitive Science,92.73333333333333,3.3433333333333337,3.0,741.0
313,"Nunez, Rafael E",Cognitive Science,95.45,3.135,2.0,60.0
314,"Creel, Sarah",Cognitive Science,100.0,3.5,2.0,111.0
315,"Jernigan, Terry Lynne",Cognitive Science,80.0,3.85,1.0,30.0
316,"Irani, Lilly C",other,89.6,3.13,2.0,123.0
317,"Nitz, Douglas A.",Cognitive Science,95.76666666666667,3.526666666666667,3.0,443.0
318,"Yu, Angela J.",Cognitive Science,55.6,3.29,1.0,24.0
319,"Boateng, Boatema",Communication,78.8,3.296666666666667,3.0,567.0
320,"Booker, Angela N",Communication,96.3,3.61,2.0,341.0
321,"Martinico, Daniel J",Communication,99.0,3.83,4.0,221.0
322,"Davis, Zeinabu I.",Communication,100.0,3.8324999999999996,4.0,162.0
323,"Campion, Camille E",Communication,94.43333333333334,3.7966666666666664,3.0,55.0
324,"Muria, Magali",Communication,88.89999999999999,3.6233333333333335,3.0,63.0
325,"Kovacs, Andras Balint",Communication,61.0,3.34,2.0,86.0
326,"Hallin, Daniel C",other,96.11999999999999,3.3299999999999996,5.0,138.0
327,"Ridlen, Timothy Michael",other,80.85,3.4749999999999996,4.0,96.0
328,"Whitworth-Smith, Andrew C",Communication,98.96666666666665,3.4949999999999997,6.0,268.0
329,"Kidman, Shawna F",Communication,98.5,3.6933333333333334,3.0,139.0
330,"Iatarola, Briana Marie",Communication,93.75,3.745,2.0,51.0
331,"Dubee, Alex William",Communication,98.0,3.63,2.0,127.0
332,"Pezzoli, Keith",other,88.44999999999999,3.5924999999999994,4.0,136.0
333,"Simmons, Candice G",Communication,91.65,4.0,2.0,44.0
334,"Hickman, Louise",Communication,100.0,3.7,2.0,32.0
335,"Fields, Gary",Communication,94.43333333333334,3.5199999999999996,3.0,101.0
336,"Cortes, Diego M",Communication,90.975,3.7675,4.0,165.0
337,"Anderson, Patrick W.",Communication,95.98,3.822,5.0,459.0
338,"Guarrasi, Ivana",Communication,98.76,3.746,5.0,162.0
339,"Alac, Morana",Communication,100.0,3.6199999999999997,3.0,106.0
340,"Hartouni, Valerie A",Communication,94.45,3.525,2.0,43.0
341,"Sims, Christopher O",Communication,94.43333333333334,3.686666666666667,3.0,88.0
342,"Bush, Barbara Ann",other,79.9,3.3899999999999997,2.0,178.0
343,"Collins, Caroline Imani",Communication,100.0,3.83,1.0,26.0
344,"Gluzman, Ellen Yelena",Communication,100.0,3.545,2.0,26.0
345,"Dewey, Matthew D",Communication,100.0,3.0,1.0,17.0
346,"Walton, Jonathan Douglas",Communication,100.0,3.8,1.0,32.0
347,"McKenna, Denise",Communication,77.8,3.4,1.0,33.0
348,"Gates, Kelly",Communication,76.55,3.38,2.0,319.0
349,"Halm, Gavin Patrick",Communication,100.0,3.93,1.0,38.0
350,"Ahn, Patricia Jeehyun",Communication,100.0,3.88,2.0,46.0
351,"Simon Salazar, Harry Love",Communication,66.65,3.885,2.0,42.0
352,"Tanaka, Stefan A.",Communication,50.633333333333326,2.953333333333333,3.0,82.0
353,"Vasquez, Olga A.",Communication,68.425,3.8825,4.0,105.0
354,"Lee, Nancy Stark",Communication,81.3,3.47,1.0,36.0
355,"Burg, Suzanne M.M.",other,82.2,3.3625000000000003,4.0,87.0
356,"Horwitz, Robert B",Communication,92.85,3.325,2.0,48.0
357,"Zilberg, Elana",Communication,53.55,3.2,2.0,37.0
358,"Dominguez Rubio, Fernando",Communication,94.1,3.47,1.0,22.0
359,"Serlin, David",Communication,74.6,3.2249999999999996,2.0,312.0
360,"Randolph, Edward Gordon",Communication,75.0,3.33,1.0,14.0
361,"Cordoba Azcarate, Matilde",Communication,91.9,3.615,2.0,41.0
362,"Conner, Thomas Hartnell",Communication,100.0,3.45,1.0,22.0
