,Instructor,Department,Stem,Upper Div,Rcmnd Instr,Average Grade Expected,Classes Taught,Enrolled,Study Hrs/Week
226,"Molinski, Tadeusz",Chemistry,True,False,30.0,2.28,1.0,101.0,8.69
227,"Deshmukh, Lalit",Chemistry,True,False,90.3,2.98,1.0,102.0,5.61
228,"Kubiak, Clifford Paul",Chemistry,True,False,80.6,3.49,1.0,72.0,5.47
229,"Pena, Ignacio Lopez",Chemistry,True,True,24.5,3.2,1.0,81.0,12.38
230,"McHugh, Colleen A",Chemistry,True,True,100.0,3.22,1.0,29.0,11.5
231,"Thiemens, Mark H",Chemistry,True,True,81.0,3.45,1.0,60.0,4.4
232,"Muller, Ulrich K.",Chemistry,True,True,87.5,3.41,1.0,90.0,6.19
233,"Huang, Xuemei",Chemistry,True,False,84.8,3.11,1.0,73.0,5.03
234,"Tezcan, Faik",Chemistry,True,False,94.3,2.755,2.0,308.0,5.76
235,"Paesani, Francesco",Chemistry,True,False,99.25,3.115,2.0,226.0,6.91
236,"Weare, John H.",Chemistry,True,True,25.7,2.97,1.0,85.0,5.81
237,"Yang, Jerry",Chemistry,True,True,100.0,3.6,1.0,11.0,6.5
238,"Devaraj, Neal Krishna",Chemistry,True,True,82.9,3.45,1.0,135.0,5.14
239,"Bertrand, Guy",Chemistry,True,False,98.4,3.39,1.0,362.0,6.05
240,"Schmidt, Valerie A",Chemistry,True,False,95.7,3.08,1.0,361.0,8.15
241,"Schimpf, Alina M",Chemistry,True,False,91.7,3.12,1.0,413.0,5.56
242,"Komor, Alexis C",Chemistry,True,False,71.3,2.91,1.0,241.0,6.3
243,"Kummel, Andrew C",Chemistry,True,False,79.2,3.11,1.0,142.0,7.11
244,"Ghosh, Partho",Chemistry,True,False,65.3,2.92,1.0,182.0,7.07
245,"Cohen, Seth M",Chemistry,True,False,91.9,3.29,2.0,592.0,6.365
246,"Anderson, Qin-Hong",Chinese Studies,False,False,99.55,3.6787500000000004,8.0,152.0,4.43375
247,"Xu, Li",Chinese Studies,False,False,95.4125,3.8275,8.0,144.0,4.96375
248,"Chen, Pei-Chia",Chinese Studies,False,False,100.0,3.78,6.0,126.0,4.47
249,"Cha, Samuel",Chinese Studies,False,False,99.225,3.6212500000000003,8.0,226.0,6.710000000000001
250,"Wang, Xiao",Chinese Studies,False,False,87.175,3.83,8.0,160.0,3.95
251,"Boyle, Mary E. T.",Cognitive Science,True,False,91.16363636363636,3.5736363636363637,11.0,1609.0,5.825454545454547
252,"Scott, Taylor Jackson",Cognitive Science,True,False,95.46666666666665,3.581666666666667,6.0,956.0,5.343333333333334
253,"Kirsh, David Joel",Cognitive Science,True,True,85.56666666666666,3.563333333333333,3.0,274.0,5.473333333333334
254,"Rangel, Lara M",Cognitive Science,True,True,99.75,3.655,4.0,414.0,4.967499999999999
255,"Mukamel, Eran A",Cognitive Science,True,True,93.9,3.29,2.0,176.0,8.024999999999999
256,"Tu, Zhuowen",Cognitive Science,True,True,84.53333333333335,3.626666666666667,3.0,387.0,8.623333333333333
257,"De Sa, Virginia",Cognitive Science,True,True,89.65,3.6100000000000003,2.0,206.0,6.66
258,"Saygin, Ayse P",Cognitive Science,True,True,72.5,3.395,2.0,99.0,6.04
259,"Sanchez Amaro, Alejandro",Cognitive Science,True,True,90.0,3.55,1.0,42.0,3.9
260,"Kim, Seung Kyung",Cognitive Science,True,False,74.1,3.3200000000000003,2.0,226.0,3.8449999999999998
261,"Bergen, Benjamin",Cognitive Science,True,False,100.0,3.63,1.0,115.0,2.29
262,"Johnson, Christine M.",Cognitive Science,True,False,86.97142857142856,3.1671428571428573,7.0,1139.0,6.208571428571429
263,"Donoghue, Thomas",Cognitive Science,True,False,98.0,3.62,1.0,208.0,5.95
264,"Miller, Carson Grant",Cognitive Science,True,False,88.3,3.78,1.0,163.0,3.02
265,"Voytek, Bradley Thomas",Cognitive Science,True,False,96.25,3.745,2.0,830.0,4.115
266,"Meyer, Michael Wayne",Cognitive Science,True,False,89.80000000000001,3.485,2.0,330.0,6.445
267,"Hollan, James D.",Cognitive Science,True,False,93.525,3.59,4.0,296.0,2.0225
268,"Davis, Joshua Daniel",Cognitive Science,True,True,96.85,3.5300000000000002,2.0,178.0,5.4
269,"Semenuks, Arturs",Cognitive Science,True,True,94.7,3.47,1.0,22.0,6.5
270,"Pineda, Jaime A",Cognitive Science,True,False,90.17500000000001,3.495,4.0,736.0,4.9575000000000005
271,"Coulson, Seana M",Cognitive Science,True,True,88.60000000000001,3.466666666666667,3.0,299.0,4.723333333333334
272,"Bardolph, Megan Dalene",Cognitive Science,True,True,96.2,3.73,1.0,65.0,5.65
273,"Barrera, Steven James",Cognitive Science,True,False,100.0,3.48,2.0,254.0,4.665
274,"Gougelet, Robert Joseph",Cognitive Science,True,False,43.650000000000006,3.395,2.0,167.0,10.75
275,"Hoffman, Drew Ellen",Cognitive Science,True,False,90.06666666666666,3.3233333333333337,3.0,982.0,4.0600000000000005
276,"Chiba, Andrea",Cognitive Science,True,True,96.1,3.715,2.0,294.0,4.335
277,"Boroditsky, Lera",Cognitive Science,True,False,94.16666666666667,3.526666666666667,3.0,338.0,3.81
278,"Dow, Steven P",Cognitive Science,True,True,87.59999999999998,3.6833333333333336,3.0,213.0,5.91
279,"Rossano, Federico",Cognitive Science,True,False,92.73333333333333,3.3433333333333337,3.0,741.0,3.7566666666666664
280,"Nunez, Rafael E",Cognitive Science,True,True,95.45,3.135,2.0,60.0,3.335
281,"Creel, Sarah",Cognitive Science,True,True,100.0,3.5,2.0,111.0,3.55
282,"Jernigan, Terry Lynne",Cognitive Science,True,True,80.0,3.85,1.0,30.0,3.8
283,"Nitz, Douglas A.",Cognitive Science,True,True,95.76666666666667,3.526666666666667,3.0,443.0,5.066666666666666
284,"Yu, Angela J.",Cognitive Science,True,True,55.6,3.29,1.0,24.0,11.79
285,"Boateng, Boatema",Communication,False,False,78.8,3.296666666666667,3.0,567.0,4.88
286,"Booker, Angela N",Communication,False,True,96.3,3.61,2.0,341.0,5.795
287,"Martinico, Daniel J",Communication,False,True,99.0,3.83,4.0,221.0,5.7299999999999995
288,"Davis, Zeinabu I.",Communication,False,True,100.0,3.8324999999999996,4.0,162.0,4.5375
289,"Campion, Camille E",Communication,False,True,94.43333333333334,3.7966666666666664,3.0,55.0,4.976666666666667
290,"Muria, Magali",Communication,False,True,88.89999999999999,3.6233333333333335,3.0,63.0,6.506666666666668
